Rank,"Previous Rank","First Appearance","First Rank",Name,Computer,Site,Manufacturer,Country,Year,Segment,"Total Cores","Accelerator/Co-Processor Cores","Rmax [TFlop/s]","Rpeak [TFlop/s]",Nmax,Nhalf,"HPCG [TFlop/s]","Power (kW)","Power Source","Power Effeciency [GFlops/Watts]",Architecture,Processor,"Processor Technology","Processor Speed (MHz)","Operating System","OS Family",Accelerator/Co-Processor,"Cores per Socket","Processor Generation","System Model","System Family","Interconnect Family",Interconnect,Region,Continent,"Site ID","System ID"
1,1,51,1,Summit,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband","DOE/SC/Oak Ridge National Laboratory",IBM,"United States",2018,Research,2414592,2211840,148600,200794.88,16473600,,2925.75,10096,Submitted,14.719,Cluster,"IBM POWER9 22C 3.07GHz",Power,3070,"RHEL 7.4",Linux,"NVIDIA Volta GV100",22,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","North America",Americas,48553,179397
2,2,51,3,Sierra,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/NNSA/LLNL,"IBM / NVIDIA / Mellanox","United States",2018,Research,1572480,1382400,94640,125712,11902464,,1795.67,7438.28,Submitted,12.723,Cluster,"IBM POWER9 22C 3.1GHz",Power,3100,"Red Hat Enterprise Linux",Linux,"NVIDIA Volta GV100",22,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","North America",Americas,49763,179398
3,3,47,1,"Sunway TaihuLight","Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway","National Supercomputing Center in Wuxi",NRCPC,China,2016,Research,10649600,,93014.59388,125435.904,12288000,,480.848,15371,Submitted,6.051,MPP,"Sunway SW26010 260C 1.45GHz",ShenWei,1450,"Sunway RaiseOS 2.0.5",Linux,None,260,Sunway,"Sunway MPP","Sunway Cluster","Custom Interconnect",Sunway,"Eastern Asia",Asia,50623,178764
4,4,41,1,Tianhe-2A,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000","National Super Computer Center in Guangzhou",NUDT,China,2018,Research,4981760,4554752,61444.5,100678.664,9773000,,,18482,Submitted,3.325,Cluster,"Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux",Linux,Matrix-2000,12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia",Asia,50365,177999
5,5,53,5,Frontera,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR","Texas Advanced Computing Center/Univ. of Texas","Dell EMC","United States",2019,Academic,448448,,23516.4,38745.907,9262848,,,,,,Cluster,"Xeon Platinum 8280 28C 2.7GHz","Intel Cascade lake",2700,"CentOS Linux 7",Linux,None,28,"Xeon Platinum 82xx (Cascade Lake)","PowerEdge C6420","Dell PowerEdge Cluster",Infiniband,"Mellanox InfiniBand HDR","North America",Americas,48958,179607
6,6,40,114,"Piz Daint","Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100","Swiss National Supercomputing Centre (CSCS)",Cray/HPE,Switzerland,2017,Research,387872,319424,21230,27154.3,3743232,,496.978,2384.24,Submitted,8.904,MPP,"Xeon E5-2690v3 12C 2.6GHz","Intel Haswell",2600,"Cray Linux Environment ",Linux,"NVIDIA Tesla P100",12,"Intel Xeon E5 (Haswell)","Cray XC50","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe",Europe,50422,177824
7,7,46,6,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/NNSA/LANL/SNL,Cray/HPE,"United States",2017,Research,979072,,20158.7,41461.15,12353536,,546.124,7578.1,Submitted,2.66,MPP,"Intel Xeon Phi 7250 68C 1.4GHz","Intel Xeon Phi",1400,"Cray Linux Environment ",Linux,None,68,"Intel Xeon Phi","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","North America",Americas,50334,178610
8,8,51,5,"AI Bridging Cloud Infrastructure (ABCI)","PRIMERGY CX2570 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR","National Institute of Advanced Industrial Science and Technology (AIST)",Fujitsu,Japan,2018,Research,391680,348160,19880,32576.63488,2918016,,508.854,1649.25,Optimized,12.054,Cluster,"Xeon Gold 6148 20C 2.4GHz","Intel Skylake",2400,Linux,Linux,"NVIDIA Tesla V100 SXM2",20,"Xeon Gold","PRIMERGY CX2570 M4","Fujitsu PRIMERGY",Infiniband,"Infiniband EDR","Eastern Asia",Asia,50762,179393
9,9,52,8,SuperMUC-NG,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path","Leibniz Rechenzentrum",Lenovo,Germany,2018,Academic,305856,,19476.6,26873.856,8402688,,207.844,,,,Cluster,"Xeon Platinum 8174 24C 3.1GHz","Intel Skylake",3100,"SUSE Linux Enterprise Server 12 SP3",Linux,None,24,"Xeon Platinum","ThinkSystem SD650","Lenovo ThinkSystem",Omnipath,"Intel Omni-Path","Western Europe",Europe,48248,179566
10,10,52,11,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,"IBM / NVIDIA / Mellanox","United States",2018,Research,288288,253440,18200,23047.2,5059584,,,,,,Cluster,"IBM POWER9 22C 3.1GHz",Power,3100,"Red Hat Enterprise Linux",Linux,"NVIDIA Tesla V100",22,"IBM POWER9","IBM Power System AC922"," IBM Power Systems",Infiniband,"Dual-rail Mellanox EDR Infiniband","North America",Americas,49763,179567
