Rank,System,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW)
1,"Earth-Simulator,                 NEC                Japan Agency for Marine-Earth Science and TechnologyJapan",5120,35860.0,40960.0,3200
2,"ASCI Q - AlphaServer SC45, 1.25 GHz,                 HPE                Los Alamos National LaboratoryUnited States",8192,13880.0,20480.0,
3,"X - 1100 Dual 2.0 GHz Apple G5/Mellanox Infiniband 4X/Cisco GigE,                 Self-made                Virginia TechUnited States",2200,10280.0,17600.0,
4,"Tungsten - PowerEdge 1750, P4 Xeon 3.06 GHz, Myrinet,                 DELL EMC                NCSAUnited States",2500,9819.0,15300.0,
5,"Mpp2 - Cluster Platform 6000 rx2600 Itanium2 1.5 GHz, Quadrics,                 HPE                DOE/SC/Pacific Northwest National LaboratoryUnited States",1936,8633.0,11616.0,
6,"Lightning - Opteron 2 GHz, Myrinet,                 Linux Networx                Los Alamos National LaboratoryUnited States",2816,8051.0,11264.0,
7,"MCR Linux Cluster Xeon 2.4 GHz - Quadrics,                 Linux Networx/Quadrics                Lawrence Livermore National LaboratoryUnited States",2304,7634.0,11060.0,
8,"ASCI White, SP Power3 375 MHz,                 IBM                Lawrence Livermore National LaboratoryUnited States",8192,7304.0,12288.0,
9,"Seaborg - SP Power3 375 MHz 16 way,                 IBM                DOE/SC/LBNL/NERSCUnited States",6656,7304.0,9984.0,
10,"xSeries Cluster Xeon 2.4 GHz - Quadrics,                 IBM/Quadrics                Lawrence Livermore National LaboratoryUnited States",1920,6586.0,9216.0,
11,"PRIMEPOWER HPC2500 (1.3 GHz),                 Fujitsu                National Aerospace Laboratory of JapanJapan",2304,5406.0,11980.0,
12,"AlphaServer SC45, 1 GHz,                 HPE                Pittsburgh Supercomputing CenterUnited States",3016,4463.0,6032.0,
13,"pSeries 690 Turbo 1.3 GHz,                 IBM                National Center for Atmospheric Research (NCAR)United States",1600,4184.0,8320.0,
14,"DeepComp 6800, Itanium2 1.3 GHz, QsNet,                 Lenovo                Computer Network Information Center, Chinese Academy of ScienceChina",1024,4183.0,5324.8,
15,"AlphaServer SC45, 1 GHz,                 HPE                Commissariat a l'Energie Atomique (CEA)France",2560,3980.0,5120.0,
16,"pSeries 690 Turbo 1.3GHz,                 IBM                HPCxUnited Kingdom",1280,3406.0,6656.0,
17,"Aspen Systems, Dual Xeon 2.2 GHz - Myrinet2000,                 HPTi                Forecast Systems Laboratory - NOAAUnited States",1536,3337.0,6758.0,
18,"pSeries 690 Turbo 1.3GHz,                 IBM                Naval Oceanographic Office - NAVO DSRCUnited States",1184,3160.0,6156.8,
19,"Cray X1,                 Cray/HPE                Cray Inc.United States",252,2932.9,3225.6,
20,"Cray X1,                 Cray/HPE                DOE/SC/Oak Ridge National LaboratoryUnited States",252,2932.9,3225.6,
21,"Cray X1,                 Cray/HPE                GovernmentUnited States",252,2932.9,3225.6,
22,"Nankai Star - xSeries Xeon 2.4 GHz, Myrinet,                 IBM                Korea Institute of Science and TechnologySouth Korea",1024,2847.0,4915.2,
23,"pSeries 690 Turbo 1.3GHz,                 IBM                ECMWFUnited Kingdom",960,2560.0,4992.0,
24,"pSeries 690 Turbo 1.3GHz,                 IBM                ECMWFUnited Kingdom",960,2560.0,4992.0,
25,"Cluster Platform 6000 rx5670-4x256, Itanium2 1.3 GHz, GigE,                 HPE                Energy Company (D)United States",1024,2556.0,5324.8,
26,"lonestar - PowerEdge 1750, Pentium4 Xeon 3.06 GHz, Myrinet,                 Dell-Cray                Texas Advanced Computing Center/Univ. of TexasUnited States",600,2455.0,3672.0,
